epoch	word_acc	length_acc	first_char_acc	second_char_acc	last_but_1_char_acc	last_char_acc
78	0.457	0.999	0.950253807106599	0.9411167512690355	0.9401015228426396	0.9817258883248731
79	0.459	0.999	0.9543147208121827	0.9482233502538071	0.9380710659898477	0.9898477157360406
80	0.471	0.999	0.9593908629441624	0.9472081218274112	0.9380710659898477	0.9898477157360406
81	0.484	0.999	0.9573604060913705	0.949238578680203	0.9472081218274112	0.9898477157360406
82	0.492	0.999	0.9593908629441624	0.9532994923857868	0.9461928934010152	0.9878172588832488
83	0.492	0.999	0.9593908629441624	0.9472081218274112	0.9451776649746193	0.9888324873096447
84	0.506	0.999	0.9593908629441624	0.949238578680203	0.9482233502538071	0.9898477157360406
85	0.503	0.999	0.9593908629441624	0.9472081218274112	0.949238578680203	0.9898477157360406
86	0.519	0.998	0.9624365482233502	0.9543147208121827	0.949238578680203	0.9878172588832488
87	0.513	0.998	0.965482233502538	0.9482233502538071	0.9522842639593908	0.9898477157360406
88	0.529	1.0	0.965482233502538	0.9583756345177665	0.9522842639593908	0.9898477157360406
89	0.515	0.999	0.9553299492385787	0.9431472081218274	0.9512690355329949	0.9868020304568528
90	0.522	0.999	0.966497461928934	0.9512690355329949	0.9441624365482234	0.9888324873096447
91	0.435	1.0	0.9583756345177665	0.9238578680203046	0.9451776649746193	0.9817258883248731
92	0.462	0.998	0.9543147208121827	0.9360406091370559	0.9472081218274112	0.9918781725888325
93	0.463	1.0	0.9634517766497462	0.9380710659898477	0.950253807106599	0.9888324873096447
94	0.48	0.999	0.9634517766497462	0.9431472081218274	0.949238578680203	0.9847715736040609
95	0.49	0.999	0.9736040609137055	0.9390862944162437	0.9543147208121827	0.9888324873096447
96	0.49	0.998	0.9685279187817258	0.9380710659898477	0.9532994923857868	0.9878172588832488
97	0.509	0.999	0.966497461928934	0.9472081218274112	0.9553299492385787	0.9888324873096447
98	0.525	0.999	0.9695431472081218	0.9472081218274112	0.9583756345177665	0.9898477157360406
99	0.552	0.997	0.9705583756345177	0.9532994923857868	0.9563451776649746	0.9868020304568528
100	0.562	0.999	0.9736040609137055	0.9553299492385787	0.9553299492385787	0.9908629441624366
101	0.578	0.999	0.9736040609137055	0.9573604060913705	0.9553299492385787	0.9878172588832488
102	0.587	1.0	0.9776649746192894	0.9604060913705583	0.9583756345177665	0.9898477157360406
103	0.52	0.881	0.9725888324873097	0.9634517766497462	0.8791878172588833	0.9208121827411168
104	0.61	0.999	0.9766497461928934	0.9604060913705583	0.9604060913705583	0.9888324873096447
105	0.607	0.999	0.9786802030456853	0.9563451776649746	0.9583756345177665	0.9908629441624366
106	0.607	1.0	0.9766497461928934	0.9563451776649746	0.9614213197969543	0.9908629441624366
