epoch	word_acc	length_acc	first_char_acc	second_char_acc	last_but_1_char_acc	last_char_acc
1	0.0	0.64	0.0	0.17358892438764642	0.15761448349307774	0.014909478168264111
2	0.0	0.927	0.17404737384140062	0.17301750772399588	0.14933058702368693	0.010298661174047374
3	0.0	0.932	0.1780962128966223	0.15762538382804503	0.2128966223132037	0.03991811668372569
4	0.0	0.749	0.1738241308793456	0.16462167689161555	0.22392638036809817	0.20245398773006135
5	0.0	0.972	0.17484662576687116	0.16257668711656442	0.2658486707566462	0.26993865030674846
6	0.0	0.927	0.19631901840490798	0.18813905930470348	0.2883435582822086	0.2474437627811861
7	0.0	0.974	0.20040899795501022	0.18302658486707565	0.310838445807771	0.4161554192229039
8	0.0	0.915	0.20735444330949948	0.20633299284984677	0.3268641470888662	0.32277834525025534
9	0.001	0.985	0.21859039836567926	0.21654749744637386	0.3861082737487232	0.5117466802860061
10	0.0	0.919	0.22982635342185903	0.236976506639428	0.38202247191011235	0.5178753830439223
11	0.001	0.99	0.23493360572012256	0.23595505617977527	0.41470888661899896	0.6016343207354443
12	0.001	0.99	0.236976506639428	0.24310520939734423	0.4290091930541369	0.6496424923391215
13	0.001	0.991	0.236976506639428	0.2512768130745659	0.45965270684371806	0.6894790602655771
14	0.001	0.983	0.2553626149131767	0.2676200204290092	0.46578140960163433	0.7344228804902962
15	0.001	0.981	0.2553626149131767	0.27477017364657813	0.4790602655771195	0.7395301327885597
16	0.001	0.987	0.25944841675178754	0.2727272727272727	0.5076608784473953	0.7752808988764045
17	0.001	0.937	0.2635342185903984	0.28600612870275793	0.49540347293156284	0.7099080694586313
18	0.001	0.974	0.27374872318692545	0.3115423901940756	0.5393258426966292	0.7906026557711952
19	0.001	0.914	0.27987742594484166	0.32277834525025534	0.4964249233912155	0.7201225740551583
20	0.001	0.992	0.2972420837589377	0.3289070480081716	0.5740551583248212	0.8345250255362615
21	0.001	0.97	0.2982635342185904	0.34831460674157305	0.5607763023493361	0.8345250255362615
22	0.0	0.993	0.3054136874361593	0.3585291113381001	0.5903983656792645	0.8355464759959143
23	0.001	0.993	0.3319713993871297	0.3799795709908069	0.6159346271705822	0.8467824310520939
24	0.0	0.789	0.35240040858018384	0.3830439223697651	0.4974463738508682	0.7385086823289071
25	0.0	0.99	0.36772216547497444	0.39325842696629215	0.6629213483146067	0.86414708886619
26	0.002	0.988	0.3769152196118488	0.4024514811031665	0.6598569969356486	0.8529111338100103
27	0.002	0.988	0.39938712972420837	0.40858018386108275	0.658835546475996	0.8682328907048008
28	0.002	0.992	0.424923391215526	0.41470888661899896	0.6680286006128703	0.8682328907048008
29	0.003	0.99	0.44433094994892747	0.4310520939734423	0.6915219611848825	0.8692543411644535
30	0.003	0.986	0.45965270684371806	0.44126659856996936	0.6853932584269663	0.86414708886619
31	0.003	0.986	0.48927477017364657	0.4606741573033708	0.6721144024514811	0.8682328907048008
32	0.004	0.991	0.5066394279877426	0.473953013278856	0.7068437180796732	0.8753830439223698
33	0.005	0.989	0.533197139938713	0.48723186925434114	0.6996935648621042	0.8825331971399387
34	0.004	0.987	0.5413687436159347	0.4933605720122574	0.7078651685393258	0.8794688457609806
35	0.006	0.981	0.5720122574055159	0.5035750766087844	0.7037793667007151	0.8804902962206334
36	0.006	0.98	0.6077630234933605	0.5199182839632278	0.7129724208375894	0.8723186925434117
37	0.006	0.992	0.6373850868232891	0.533197139938713	0.7252298263534218	0.8947906026557712
38	0.01	0.958	0.669050051072523	0.5617977528089888	0.6813074565883555	0.881511746680286
39	0.012	0.992	0.6843718079673136	0.5730337078651685	0.7344228804902962	0.9050051072522982
40	0.013	0.994	0.7048008171603677	0.6057201225740552	0.7517875383043923	0.9019407558733401
41	0.016	0.99	0.7272727272727273	0.6210418794688458	0.7517875383043923	0.9101123595505618
42	0.021	0.993	0.7538304392236976	0.6292134831460674	0.7548518896833504	0.898876404494382
43	0.024	0.97	0.7701736465781409	0.6475995914198162	0.7507660878447395	0.8927477017364658
44	0.027	0.993	0.7854954034729316	0.6721144024514811	0.7589376915219612	0.9152196118488254
45	0.027	0.989	0.7997957099080695	0.6915219611848825	0.7558733401430031	0.9090909090909091
46	0.036	0.993	0.822267620020429	0.6915219611848825	0.7742594484167518	0.9152196118488254
47	0.041	0.985	0.8294177732379979	0.7078651685393258	0.763023493360572	0.9029622063329928
48	0.045	0.993	0.8365679264555669	0.72829417773238	0.7783452502553626	0.9172625127681308
49	0.05	0.991	0.8426966292134831	0.7517875383043923	0.7906026557711952	0.9284984678243106
50	0.054	0.992	0.849846782431052	0.7528089887640449	0.7967313585291114	0.9254341164453525
51	0.06	0.992	0.8529111338100103	0.7681307456588355	0.7987742594484167	0.9356486210418795
52	0.067	0.993	0.8518896833503575	0.7691521961184883	0.8089887640449438	0.9274770173646578
53	0.073	0.989	0.8610827374872319	0.780388151174668	0.8212461695607763	0.9213483146067416
54	0.075	0.997	0.8580183861082737	0.7885597548518897	0.81511746680286	0.923391215526047
55	0.085	0.995	0.8692543411644535	0.7926455566905005	0.8365679264555669	0.9366700715015321
56	0.082	0.994	0.8672114402451481	0.7997957099080695	0.822267620020429	0.9213483146067416
57	0.096	0.99	0.8723186925434117	0.8120531154239019	0.8283963227783453	0.9305413687436159
58	0.1	0.996	0.8804902962206334	0.8069458631256384	0.8273748723186926	0.9284984678243106
59	0.104	0.994	0.8774259448416751	0.8171603677221655	0.8335035750766088	0.9366700715015321
60	0.108	0.995	0.8794688457609806	0.8192032686414709	0.8508682328907048	0.9295199182839632
61	0.126	0.988	0.8764044943820225	0.8253319713993871	0.8406537282941777	0.923391215526047
62	0.119	0.994	0.8733401430030644	0.8283963227783453	0.8416751787538305	0.9376915219611849
63	0.119	0.994	0.881511746680286	0.8437180796731358	0.839632277834525	0.9387129724208376
64	0.132	0.995	0.8876404494382022	0.8355464759959143	0.8457609805924413	0.9468845760980592
65	0.124	0.995	0.8886618998978549	0.8406537282941777	0.8365679264555669	0.95097037793667
66	0.136	0.995	0.891726251276813	0.8518896833503575	0.8447395301327886	0.9417773237997957
67	0.141	0.99	0.8958120531154239	0.8426966292134831	0.8518896833503575	0.9519918283963228
68	0.152	0.992	0.8927477017364658	0.8559754851889684	0.8426966292134831	0.9182839632277835
69	0.153	0.995	0.8968335035750766	0.8457609805924413	0.8590398365679265	0.9427987742594485
70	0.155	0.996	0.8958120531154239	0.8539325842696629	0.8539325842696629	0.95097037793667
71	0.167	0.992	0.906026557711951	0.8621041879468846	0.8590398365679265	0.9366700715015321
72	0.163	0.993	0.8978549540347294	0.8631256384065373	0.8600612870275791	0.9417773237997957
73	0.17	0.987	0.9050051072522982	0.8600612870275791	0.8672114402451481	0.940755873340143
74	0.181	0.994	0.8968335035750766	0.8723186925434117	0.8733401430030644	0.9499489274770173
75	0.181	0.993	0.9029622063329928	0.8559754851889684	0.8702757916241062	0.9387129724208376
76	0.193	0.997	0.9019407558733401	0.8651685393258427	0.8753830439223698	0.9519918283963228
77	0.191	0.995	0.9101123595505618	0.8835546475995915	0.8712972420837589	0.9427987742594485
78	0.201	0.99	0.9182839632277835	0.8764044943820225	0.8723186925434117	0.9397344228804902
79	0.202	0.99	0.9172625127681308	0.8723186925434117	0.8621041879468846	0.9203268641470889
80	0.201	0.997	0.9182839632277835	0.8733401430030644	0.8825331971399387	0.9376915219611849
81	0.211	0.993	0.9090909090909091	0.8876404494382022	0.8876404494382022	0.9448416751787538
82	0.219	0.991	0.9152196118488254	0.8886618998978549	0.8794688457609806	0.9489274770173647
83	0.205	0.995	0.9080694586312564	0.8835546475995915	0.8907048008171604	0.9489274770173647
84	0.216	0.991	0.9070480081716037	0.8866189989785496	0.8753830439223698	0.9366700715015321
85	0.221	0.995	0.9213483146067416	0.8876404494382022	0.8804902962206334	0.9540347293156282
86	0.225	0.994	0.9213483146067416	0.8845760980592441	0.8876404494382022	0.9601634320735445
87	0.24	0.997	0.9203268641470889	0.891726251276813	0.8978549540347294	0.9540347293156282
88	0.242	0.994	0.9305413687436159	0.8968335035750766	0.8958120531154239	0.9540347293156282
89	0.251	0.994	0.9295199182839632	0.9039836567926456	0.8958120531154239	0.958120531154239
90	0.236	0.972	0.9295199182839632	0.8958120531154239	0.8692543411644535	0.9417773237997957
91	0.247	0.995	0.9325842696629213	0.9080694586312564	0.8927477017364658	0.9540347293156282
